College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Narsee Monjee Institute of Management Studies - [NMIMS University], Mumbai","8.4/10","Mumbai, Maharashtra","NAAC, UGC","₹3.05 L / yr Master of Physioth...",,""
"Guru Gobind Singh Indraprastha University - [GGSIPU], New Delhi","8.4/10","New Delhi, Delhi NCR","AICTE, UGC, NAAC-A","₹48 K / yr BAMS - avg fee",,"3.9 / 5 36 reviews"
"Maharaja Sayajirao University of Baroda - [MSU], Baroda","8.4/10","Baroda, Gujarat","NAAC, UGC","-- PG Diploma in Medi...",,""
"Jamia Millia Islamia University-[JMI], New Delhi","8.4/10","New Delhi, Delhi NCR","AICTE, UGC, NAAC-A","₹21.6 K / yr Bachelor of Physio...",,"3.9 / 5 69 reviews"
"Birla Institute of Technology - [BIT Mesra], Ranchi","8.2/10","Ranchi, Jharkhand","PCI, AICTE, UGC, NBA, NAAC-B","₹59 K / yr M.Phil/Ph.D in Med...",,""
"University of Calcutta, Kolkata","8.2/10","Kolkata, West Bengal","NAAC-A","₹25 K / yr Graduate Diploma i...",,""
"College of Veterinary and Animal Sciences - [CVAS], Bikaner","8.1/10","Bikaner, Rajasthan","AICTE, UGC","₹14.2 K / yr M.Phil/Ph.D in Med...",,""
"Devi Ahilya Vishwavidyalaya, Indore","8.1/10","Indore, Madhya Pradesh","UGC, NAAC-A","₹37.6 K / yr PG Diploma in Medi...",,""
"Osmania University - [OU], Hyderabad","7.9/10","Hyderabad, Telangana","AICTE, UGC, NAAC-A","₹3 K / yr B.Sc (Medicine) - ...",,"3.7 / 5 25 reviews"
"Anna University, Chennai","7.9/10","Chennai, Tamil Nadu","AICTE, UGC","-- M.Phil/Ph.D in Med...",,""
"KLE University, Belgaum","7.8/10","Belgaum, Karnataka","MCI, UGC, NAAC-A","₹25 K / yr BAMS - avg fee",,"3.4 / 5 9 reviews"
"Sri Guru Ram Das Institute of Dental Sciences and Research, Amritsar","7.7/10","Amritsar, Punjab","UGC","-- MD",,
"University of Mumbai, Mumbai","7.7/10","Mumbai, Maharashtra","UGC, NAAC-A","₹32.2 K / yr PG Diploma in Medi...",,"3.4 / 5 26 reviews"
